Date(UTC),Price,ERC-20 Unique Address Total Count,ERC-20 Unique Address Receive Count,ERC-20 Unique Address Sent Count,Average Txn Fee (USD),Unique Address Total Count,Unique Address Receive Count,Unique Address Sent Count,Price (Wei),Gas Used,Hash Rate,Total Address,Transaction Count,Uncle Count,VelCur1yr,TxCnt,TxTfrCnt,TxTfrValMeanNtv,SplyAct1d,SplyAct7d,SplyAct30d,NVTAdj,NVTAdjFF,CapMVRVCur,CapMVRVFF
10/09/2015,0.65,0,0,0,0,1367,868,1290,61962572208,180944156,364.9485,24243,6763,245,0.8526248403,6763,6688,33.545956,4101089.58,10630193.68,13338977.46,407.5401691,369.4299578,1.82134949,1.65103005
10/10/2015,0.63,0,0,0,0,1267,793,1205,64893302980,174240457,360.6383,24303,6529,270,0.8540719284,6529,6530,19.71274368,4072706.999,10581814.12,13240770.81,735.8381119,667.0515835,1.81920274,1.64914273
10/11/2015,0.63,0,0,0,0,1301,840,1212,56318375319,154497993,381.8711,24359,6023,301,0.8558335787,6023,5987,25.54260964,3992728.091,10495136.87,13187641.2,565.8990334,513.0174586,1.72291151,1.56191057
10/12/2015,0.63,0,0,0,0,1336,832,1257,51359902694,200001725,386.3386,24473,6593,284,0.8591852438,6593,6407,42.2827043,4292457.252,4590491.952,13045282.8,308.329389,279.527367,1.79649186,1.62867588
10/13/2015,0.6,0,0,0,0,1476,846,1400,53219625156,223630692,397.9554,24675,6818,301,0.8644323202,6818,6637,61.96272156,4403479.806,4641718.578,13123578.8,237.4878954,215.3113949,1.71740921,1.5570384
10/14/2015,0.51,0,0,0,0,1567,956,1447,57976429615,193279995,394.1999,24906,6830,320,0.8775584488,6830,6674,148.9610158,4355507.941,4865240.643,13026919.19,117.6683355,106.6843657,1.39636066,1.26601478
10/15/2015,0.56,0,0,0,0,1497,876,1391,54823147993,347607211,372.9212,25142,6499,263,0.8880739763,6499,6213,128.965912,5442515.3,6021837.184,13978394.85,96.70757116,87.68334457,1.68771447,1.5302261
10/16/2015,0.53,0,0,0,0,1367,882,1275,53404946237,400824348,347.0096,25248,6795,273,0.8926333187,6795,6547,55.0449545,5389146.212,5965801.378,13779951.75,274.8329038,249.1957931,1.58457216,1.43675924
10/17/2015,0.55,0,0,0,0,1356,867,1251,53619552703,230368185,373.0388,25356,6567,312,0.8956100056,6567,6307,38.72230744,4141790.56,5961212.507,13292053.16,403.9057247,366.2418206,1.57654959,1.42953753
10/18/2015,0.52,0,0,0,0,1346,818,1247,52006592112,249377360,362.4454,25489,6481,297,0.8977460948,6481,6170,29.41927944,4254770.969,6076231.187,13264595.11,491.7178402,445.8815089,1.52770711,1.38529924
10/19/2015,0.49,0,0,0,0,1453,842,1359,52456819761,216816740,360.9165,25729,6604,291,0.9043759,6604,6384,80.6718521,4055038.472,6044298.931,13167772.09,169.2852188,153.5105285,1.4982944,1.35867719
10/20/2015,0.44,0,0,0,0,1315,837,1227,53767556518,191557542,359.4184,25828,5897,332,0.910818445,5897,5747,87.29182125,3850981.323,5614410.323,13039891.89,180.2492838,163.4588469,1.32167465,1.19855907
10/21/2015,0.44,0,0,0,0,1522,873,1428,53588794315,180468852,358.9999,26090,6182,289,0.9198923596,6182,6046,115.309595,3948725.031,5547046.306,13119920.3,148.4296626,134.6081139,1.25876092,1.14154698
10/22/2015,0.59,0,0,0,0,1390,849,1268,57253941421,237772273,341.149,26244,5979,305,0.9279279692,5979,5400,114.7932543,3841190.56,5362667.007,12935989.51,145.2754429,131.752226,1.5882966,1.44044726
10/23/2015,0.52,0,0,0,0,1524,957,1404,51207267003,260401303,380.6258,26449,6888,331,0.9380053991,6888,6292,123.0162073,4200182.916,4292621.61,12998492.68,148.9394561,135.080312,1.62767608,1.47621724
10/24/2015,0.57,0,0,0,0,1636,869,1555,50749518370,211420205,400.8051,26892,6361,336,0.9390078394,6361,5944,16.8095209,4080064.98,4277385.24,12951317.29,1005.573351,912.036692,1.60330784,1.45417097
10/25/2015,0.65,0,0,0,0,1498,918,1393,51635339670,170100960,415.4128,27220,5830,351,0.9421955697,5830,5524,47.44802542,3862250.81,4307964.485,12979791.49,361.2266176,327.6380771,1.78113684,1.61551841
10/26/2015,0.74,0,0,0,0,1656,987,1568,54585998170,203310004,399.276,27534,5938,366,0.9514913175,5938,5835,122.6307157,3779924.365,4204404.099,12900861.48,150.8880671,136.8626787,1.96516266,1.78249633
10/27/2015,0.87,0,0,0,0,1707,1150,1545,53525777571,365376906,423.6995,27744,6784,376,0.9766300706,6784,6443,294.2642051,4449609.308,5057882.279,12978277.94,41.3500408,37.50788325,2.2236057,2.016993
10/28/2015,1.01,0,0,0,0,1701,1167,1562,54787998286,202357247,425.0888,27918,7346,398,0.9894133975,7346,6457,151.2860418,4293031.961,4924272.199,12827556.46,98.0011567,88.89832261,2.58630067,2.34607222
10/29/2015,1.16,0,0,0,0,1975,1269,1812,52364630378,241667844,457.198,28188,7836,453,1.000156232,7836,6990,118.2861493,9741970.639,11318181.19,13088443.39,109.7954614,100.0434221,2.68866354,2.44985628
10/30/2015,1.04,2,1,1,0,2220,1315,2093,54017718700,250649964,485.0091,28770,7941,409,1.016029535,7941,7531,160.6202759,9936733.169,11420730.8,13275419.45,73.50488539,66.97860769,2.52814732,2.30368072
10/31/2015,0.89,0,0,0,0,1988,1222,1893,53753181787,296674561,512.5808,29166,7557,554,1.019363883,7557,7146,38.70144202,3703543.198,11072093.43,13279602.34,341.8152189,311.4777807,2.05135907,1.86929293
11/01/2015,1.05,0,0,0,0,2132,1157,2042,50751088484,316473677,520.7818,29676,6915,625,1.020932712,6915,6610,22.03126787,3553806.064,11060446,13039748.68,646.6530336,589.2817516,2.25825307,2.05790007
11/02/2015,0.96,2,1,1,0,2040,1332,1897,53162663704,193339829,494.4047,29973,6558,531,1.025308737,6558,6246,56.66013626,4174887.88,11309084.14,13323516.86,273.9876865,249.6882523,2.26082824,2.06031979
11/03/2015,1,26,23,10,0,2067,1249,1957,51578536572,236076946,480.1956,30326,7399,573,1.032904591,7399,6973,85.28941743,4248510.076,11350525,13340248.53,155.8022309,141.9895499,2.37680286,2.16608688
11/04/2015,0.87,18,14,4,0,2040,1241,1907,52243136362,180987375,508.4657,30608,7037,549,1.043343523,7037,6802,118.6920373,3903595.672,10410218.04,13217743.73,112.0510645,102.1208437,1.85455408,1.69019927
11/05/2015,0.89,15,11,5,0,1915,1288,1768,52990311400,199792729,489.3514,30815,7498,473,1.047906723,7498,7210,51.17901406,3753255.181,10419818.05,13219678.3,237.254205,216.2358859,2.01179401,1.83356945
11/06/2015,0.92,0,0,0,0,1808,1241,1683,52184810513,309939683,491.3861,30968,7882,450,1.066615739,7882,7151,199.3286555,9792461.77,10663981.34,13576448.3,80.14882969,73.05106354,2.2780684,2.07632875
11/07/2015,0.92,0,0,0,0,2068,1176,1978,51944373853,572275369,478.1613,31514,10996,550,1.082549185,10996,7787,156.4636515,9930639.155,10656206.56,13514746.41,66.80083661,61.55813262,2.18745832,2.01578089
11/08/2015,1.02,4,2,2,0,2272,1188,2175,52414324288,563914716,498.873,32153,12413,570,1.094156934,12413,9607,93.33912814,9225982.891,10379144.07,13347314.4,91.67145099,84.47946437,2.37940703,2.19273317
11/09/2015,1,30,28,4,0,2061,1342,1910,51918274052,211894015,496.5674,32455,7689,509,1.116015574,7689,7390,225.0565723,9632144.602,10830438.07,13585909.69,52.83560125,49.22218502,2.32150138,2.16273437
11/10/2015,0.92,37,36,1,0,1827,1270,1725,52237284910,287969451,505.3881,32634,8151,574,1.127526027,8151,7383,120.7035053,8751163.803,10079511.74,13129693.7,89.38517337,83.27438325,2.10777942,1.96368173
11/11/2015,0.78,26,24,3,0,2034,1260,1937,52560853806,414061456,508.885,32804,10217,702,1.131180893,10217,7239,42.09250339,4035253.613,10048140.45,13051833.08,262.3664307,244.4365015,1.78114722,1.65942493
11/12/2015,0.89,3,2,2,0,1808,1215,1710,59050838844,450460992,517.4888,32918,9534,693,1.13451334,9534,7068,39.76095793,8947603.364,15384690.21,18476902.93,315.0377192,293.5163395,2.31068324,2.15283201
11/13/2015,0.89,5,3,3,0,1806,1194,1715,51534479321,280236525,528.3143,33055,7891,681,1.140321551,7891,6940,67.24620777,9292084.648,15513788.85,18283984.89,168.734707,157.2121625,2.36111323,2.19987769
11/14/2015,0.89,2,1,1,0,1798,1240,1699,51216461485,360305868,534.8715,33157,7211,713,1.143691338,7211,6887,41.33037092,9119566.346,15087107.83,18272763.55,305.7179687,284.8490271,2.31161449,2.1538189
11/15/2015,0.9,5,1,4,0,1760,1219,1686,51537798825,224846805,550.2513,33264,7170,561,1.145605883,7170,6891,25.47699031,8735149.808,14901111.17,17763770.04,500.9111292,466.7307356,2.37911147,2.21676937
11/16/2015,0.94,4,2,2,0,1868,1272,1765,56768038418,182259335,541.2585,33376,7442,577,1.151148121,7442,7102,62.8913714,7976464.95,14504680.67,17773875.13,184.1936187,171.6294967,2.41513021,2.25039057
